"file name,","file size,","number of words,","% negative,","# of alphabetic,","# of digits,","# of numbers,","average word length,",vocabulary
./files\20130225_10-K_edgar_data_63908_0000063908-13-000010_1.txt,22271584,729376,2.527365857938841,12050331,2277587,452374,4.997648675031808,1718
./files\20130226_10-K_edgar_data_40545_0000040545-13-000036_1.txt,58360400,2616619,1.4128537628137685,33192967,5091868,925633,4.846579498199776,2102
./files\20130226_10-K_edgar_data_51143_0001047469-13-001698_1.txt,49290046,1896933,0.7992902226910492,27980523,4539016,1058060,4.876830125260091,2076
./files\20130226_10-K_edgar_data_732712_0001193125-13-075713_1.txt,17484669,616888,1.7340262738130745,10070737,1291611,290865,4.773895747688397,1865
./files\20130227_10-K_edgar_data_21344_0000021344-13-000007_1.txt,37946497,1616736,1.6687325574490826,22736398,3289249,520821,5.047763518595491,2342
./files\20130227_10-K_edgar_data_34088_0000034088-13-000011_1.txt,27580538,1481220,0.6275907697708646,16526292,2342132,355116,4.9953025208949375,1847
./files\20130228_10-K_edgar_data_19617_0000019617-13-000221_1.txt,116724221,4793395,1.6924747491078869,69307744,10084443,1652862,4.96592769842669,2557
./files\20130228_10-K_edgar_data_310158_0001193125-13-084618_1.txt,21998330,803088,1.6094126671049747,12640554,1714857,373672,4.804490915067838,2236
./files\20130228_10-K_edgar_data_70858_0000070858-13-000097_1.txt,123106925,5357243,1.8626371811022946,74735753,10276720,1598160,4.9996113672648415,2617
./files\20130228_10-K_edgar_data_78003_0000078003-13-000006_1.txt,43282100,1830152,2.0685713536362007,26109107,3744357,590427,5.009773505151485,2480
./files\20130301_10-K_edgar_data_831001_0001206774-13-000852_1.txt,71188903,2562997,1.2085070719942317,41195669,5332893,1335966,4.808914719759719,2546
./files\20130301_10-K_edgar_data_886982_0001193125-13-085474_1.txt,37222873,1408598,1.6342490902301436,20989307,2733379,621958,4.937016096856591,2426
./files\20130326_10-K_edgar_data_104169_0000104169-13-000011_1.txt,16953770,753141,2.0455665008278663,10307576,1401026,219030,5.107042373207673,1821
./files\20130328_10-K_edgar_data_354950_0000354950-13-000008_1.txt,9744169,418707,1.7740329156187977,5870795,829257,122898,5.028647717855207,1665
./files\20130723_10-K_edgar_data_320187_0000320187-13-000092_1.txt,26524396,1135733,1.8546612628144115,17370031,1839729,318642,5.082042170122731,2115
./files\20130730_10-K_edgar_data_789019_0001193125-13-310206_1.txt,24741175,706188,1.5946178637983088,15436997,1551042,380667,4.85849660430367,1945
./files\20130808_10-K_edgar_data_80424_0000080424-13-000063_1.txt,33071158,1342933,1.2783958693397213,21621133,2269282,408132,5.0618571440272895,1886
./files\20130910_10-K_edgar_data_858877_0000858877-13-000049_1.txt,41181475,1716110,1.8539021391402648,26944940,2880072,502240,5.091682351364423,2216
./files\20131030_10-K_edgar_data_320193_0001193125-13-416534_1.txt,11043722,371709,1.8444535913846583,6250230,847521,187135,4.732521945930822,1653
./files\20131122_10-K_edgar_data_1403161_0001403161-13-000011_1.txt,20736794,828166,2.226485994353789,12322933,1839268,285066,5.026497103237757,1898
./files\20131230_10-K_edgar_data_47217_0001047469-13-011417_1.txt,28495491,932279,1.4271478816963592,16923730,2031752,475750,4.8898087375131265,2139
./files\20140205_10-K_edgar_data_30554_0000030554-14-000002_1.txt,31017772,1264436,1.1612291962582526,18186255,2903693,454185,5.041447728473407,2006
./files\20140206_10-K_edgar_data_101829_0000101829-14-000006_1.txt,27627603,1140138,2.084396801088991,16514957,2386412,378022,5.0974469757169745,1947
./files\20140206_10-K_edgar_data_1467858_0001467858-14-000043_1.txt,50611374,2093838,2.0955775948282533,30076452,4426550,707683,5.121902936139281,2311
./files\20140212_10-K_edgar_data_731766_0000731766-14-000008_1.txt,26797648,1105605,2.182244110690527,16043081,2385555,374225,5.105894962486603,2085
./files\20140213_10-K_edgar_data_66740_0001104659-14-009773_1.txt,36298673,1545058,0.9579575653470614,20541513,3399866,612199,4.837871458547188,1996
./files\20140213_10-K_edgar_data_86312_0001047469-14-000854_1.txt,32895174,1166847,1.3803866316663624,18614700,2567414,616555,4.942386619668217,2346
./files\20140214_10-K_edgar_data_12927_0000012927-14-000004_1.txt,28597586,1133329,1.885683680555249,16926638,2597100,403244,5.03331159795611,1934
./files\20140214_10-K_edgar_data_50863_0000050863-14-000020_1.txt,31686485,1201261,2.1743817538403394,18470242,2921604,463129,4.963430095541269,2029
./files\20140218_10-K_edgar_data_18230_0000018230-14-000058_1.txt,88050247,3117238,2.2051251781224277,48243355,8807906,1934922,5.071021846904214,2250
./files\20140220_10-K_edgar_data_19617_0000019617-14-000289_1.txt,120739670,4755941,1.7574229789646254,71363688,10941791,1816159,4.982347552250964,2449
./files\20140221_10-K_edgar_data_200406_0000200406-14-000033_1.txt,24921475,1005992,2.070394197965789,14686079,2241476,350185,5.077004588505674,1842
./files\20140221_10-K_edgar_data_732717_0000732717-14-000010_1.txt,25499035,1204996,1.8000889629509145,14852039,2065559,396397,4.8265014987601615,2225
./files\20140221_10-K_edgar_data_93410_0000093410-14-000011_1.txt,39048269,1508110,1.9603344583617905,22424891,3689010,597302,5.033415334425207,2098
./files\20140224_10-K_edgar_data_63908_0000063908-14-000019_1.txt,21735343,682605,2.5846573054694884,11562122,2285143,462029,4.988359300034427,1789
./files\20140225_10-K_edgar_data_4962_0001193125-14-066777_1.txt,31348041,1376676,1.04127623347832,17920619,2746747,505149,4.806356034390082,2339
./files\20140225_10-K_edgar_data_51143_0001047469-14-001302_1.txt,42733609,1996461,0.7837368223070724,25059004,3696528,614836,4.809493899455086,2178
