"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary
./files\20150220_10-K_edgar_data_732717_0000732717-15-000016_1.txt,23806928,1379560,0.902244193800922,0.2396416248658993,0.13395575400852447,0.2331178056771724,0.035083649859375454,0.024428078517788283,0.041317521528603324,0.08575197889182058,14166384,1854328,352194,1.5243584911131085,4.943402244193801,4272
./files\20150220_10-K_edgar_data_93410_0000093410-15-000010_1.txt,32752013,1970337,0.6530862486975578,0.18189781747995393,0.8550313981821384,0.20575160492849698,0.023397012795273096,0.019083029958834454,0.01375399233735143,0.06404995693630075,19879340,2708751,413586,1.5544533752347949,5.060285118738571,4357
./files\20150223_10-K_edgar_data_732712_0001193125-15-057710_1.txt,21557524,1106331,1.082406621526469,0.49451746358006776,0.16387500666617857,0.4399225909786492,0.03624593363107424,0.04067498786529529,0.06399531424139793,0.1569150642981169,12272901,1582871,345943,1.5054789208654553,4.806844425402524,5133
./files\20150223_10-K_edgar_data_886982_0001193125-15-056785_1.txt,45276881,2246280,0.9995637231333583,0.6009491247751839,0.29991808679238563,0.40248766850081025,0.06833520309133323,0.05199707961607635,0.04251473547376106,0.21417632708299944,25217197,3739390,796953,1.5380335488006838,4.920794825222145,5707
./files\20150224_10-K_edgar_data_19617_0000019617-15-000272_1.txt,121565471,6906822,0.4878075618569583,0.22353261746140266,0.838591178403034,0.12754056786174597,0.0174899541352014,0.019835461229491654,0.01127870386698832,0.06673112467644308,73769936,10324694,1722160,1.545329096362987,5.0689418375050055,5680
./files\20150224_10-K_edgar_data_200406_0000200406-15-000004_1.txt,25295131,1423734,0.8724242028356419,0.35800226727745493,0.8231172395967224,0.34437612643934895,0.022686822117052762,0.021071351811504116,0.01994754638155723,0.06700689876058309,15078860,2169420,343927,1.5547876218450918,5.093258291225749,4014
./files\20150224_10-K_edgar_data_4962_0001193125-15-059931_1.txt,32094172,1939606,0.8102160954338149,0.3976580810741976,0.15843423870621146,0.25293796781408184,0.049030576312921285,0.040265909674439035,0.032532380287542934,0.10373240750956637,19085618,2516180,459795,1.464219021801335,4.832424213989851,5261
./files\20150224_10-K_edgar_data_51143_0001047469-15-001106_1.txt,48418250,2882338,0.7127894091532637,0.2425808492966474,0.10442911275499264,0.1914071146409616,0.0287266795219714,0.02015724734573114,0.025847072758295522,0.0666125901958757,28895065,3978333,692366,1.419455664117116,4.876229644129175,5175
./files\20150224_10-K_edgar_data_63908_0000063908-15-000016_1.txt,21542671,992398,0.7092920380734342,0.19850906591911713,1.0403084246441447,0.16898462108952256,0.02982674289952217,0.02347848343104279,0.014812605426451887,0.0489722873282695,11624007,2210691,436790,1.5406197916561701,5.0383999161626685,3696
./files\20150225_10-K_edgar_data_21344_0000021344-15-000005_1.txt,35564809,2039082,0.7903556600470211,0.27164184667414065,0.6941358905625178,0.21019262589734009,0.033201215056579386,0.031239547992675136,0.03423109026512911,0.07640693213907042,21584674,2991300,483040,1.5641347429872854,5.083103573078474,4858
